sample_id,iteration,seed,Tiempo de simulacion
0,0,76444641501258307048785502424485730738,1920
0,1,273425128142406771668296190384030642956,2450
0,2,244572629415657880755120529139169020974,2322
0,3,86520893858942510856567232736461094091,1392
0,4,229879095415036591236894566502193289470,4010
1,0,61744255623197610181418465072939387144,5156
1,1,223708777965565559178406796146118605599,2442
1,2,258126120312267177484467784522152727474,3178
1,3,241519308718572270620593748946293630311,1438
1,4,86242141569021822530027802438336328736,3282
2,0,36928710465842245821828965902693879033,2938
2,1,262811804513234533070081246257851149151,2614
2,2,214610347325620760618496554835585095949,1496
2,3,323321503099941970617095633034881689585,1756
2,4,292807030310632709275136402475781810417,3282
3,0,244075136816217299964044335848013237868,2784
3,1,145612235990486897637738189587158898063,1432
3,2,170042128004120926322927191479321967878,1564
3,3,262014929701337109256413955822941545888,4188
3,4,193268708090139923434783140803654457323,2350
4,0,105748447029728490885882334064028516804,2784
4,1,51596739482233352595546407165012376051,7196
4,2,26324794269347148476262841784182629171,2298
4,3,100463301544921323198593034084214861118,3956
4,4,306731611107131509505749114095439596383,1810
5,0,136752196894654831823556659615041528762,3766
5,1,40929794953847430694633087684160719924,1664
5,2,183337664068635307627157553629931658450,2290
5,3,179801119008263374996406527994173106753,1034
5,4,199417217206178213241465518614672941876,1116
6,0,32146909021697996198437391853584777625,2112
6,1,306027001444480000082223583287045307829,1858
6,2,102969308139294981257013252912092413818,3106
6,3,217040588906184759120351253108551844904,2622
6,4,91062773638456954372665728089240540984,1320
7,0,310234096638484635455405341553424803258,2178
7,1,43444747895202255465109073974834975312,782
7,2,154114413238705023802383024896750609876,918
7,3,16304251266542612992569798357377322429,2114
7,4,245149097609747849897384200902428016129,1282
8,0,261813080745622279538873334089547227103,756
8,1,166470108111082148085914587358806037566,4052
8,2,91337578674623495785328003037034688551,930
8,3,247960464628476309622326256924440674347,2790
8,4,231918090290087404239824698879376445552,2876
9,0,51410664727588030115675179960175509969,1796
9,1,86246932105590589784781365403017280246,1816
9,2,132868287254406666417384002497290307850,3788
9,3,134161343383293400012408326411953432185,3224
9,4,135056826882717864469011984692096805968,4320
10,0,159752864149060397136076247443812238562,2368
10,1,79065258006107821610028698845405669165,1116
10,2,314757506565095185066560086434732583865,1794
10,3,305327379321148810113358120327668849354,2874
10,4,18902245532934743796171346677312485876,1730
11,0,326298966505149734323294025088533117146,696
11,1,305773729565872183504047244152208427997,2278
11,2,289992716555576782589812145769746037884,1436
11,3,302665357255174236243054165923751153942,9494
11,4,127107353288965601417027714755311282264,1580
12,0,42906221975553485490172157122862886513,1766
12,1,34852463643530333295045504105262091861,2058
12,2,277532231027264278462922715509362997636,2732
12,3,277713394391645444695291807502077520485,2324
12,4,310993278587522793632655068342192000205,1224
13,0,259798076484787664291089258479642887744,668
13,1,161917095900830824688111231127705719872,1980
13,2,98122700298418726209260231282690316855,4400
13,3,207070540707257381817515765108886675185,1668
13,4,71199947267143223688618464432016146857,2350
14,0,21807879126354465787909709682812274225,1420
14,1,33187222586001732794836267055815838297,7828
14,2,321554091810571897807517501533251500380,2654
14,3,33405262524846756135054745471171983406,7366
14,4,80664939791661514288739228677429129719,2738
15,0,13482216368126464461641052146642711864,2864
15,1,335097641109954597594006412802092376702,1718
15,2,155320870090431592802740099512799898633,1610
15,3,57659490069042908590346966516744020271,904
15,4,237385519014060944922873574242530658055,990
16,0,165877661861077493362453012707070245458,2438
16,1,105499178640961077402873644764969923337,904
16,2,243879097645908537738719553990797404418,4296
16,3,56425373500354213128148528646631387939,1828
16,4,49166124023701020448791460824065606134,5430
17,0,56068772721603176916836991241737054789,1316
17,1,106242638435257775639301325078474671977,4146
17,2,207158052755100568553174395720747727494,2192
17,3,314453908043089500170535954774925534699,1630
17,4,181995939966540466279362007169245012623,3568
18,0,152309330602699816976481477557749320388,1444
18,1,202891738951921570428571171971146604467,2052
18,2,235027455635697742923988975883140349864,3162
18,3,197371089644631012316974378313195478224,2446
18,4,28865739707563987377018867667321027211,1796
19,0,309892341914495481719452709880990547622,6644
19,1,51165410139627608107680908186574402688,896
19,2,117771813767466179333906921654835342723,2370
19,3,216126248456913597989870214831636547134,1708
19,4,118845525793036316277613131397275236623,2666
20,0,208574388485635637779449959470430890313,2914
20,1,266604395641111490649169907907100970552,1052
20,2,103046838712066745342547135535046831262,2864
20,3,145799706223191932881543311514673489521,1210
20,4,104986960171606424949252311208309615496,1868
21,0,256901344845328265580509175318126021408,1096
21,1,157156863495737556570723637809010916939,1230
21,2,185504683560810005057653216241136220565,1620
21,3,195203525039700785352803191998671840266,4988
21,4,64049095455834944970587754159989270522,2340
22,0,104787664329550077075114726220353648168,1812
22,1,65230144793201490661678350728195744077,2078
22,2,274339051115677472642047127133101959916,1314
22,3,37951560992901625902467970741979577522,3366
22,4,323374749764347499149363131831344936070,2234
23,0,153341651618546559691042089576052044580,3842
23,1,91373192882557881883786528600399011834,3248
23,2,279565465000704968169971631630522953124,2468
23,3,54747360019849382053085614269749908503,1614
23,4,98110083939390273174595937481512467225,1796
24,0,173313320198249167924984858166745282393,6526
24,1,66682789746014334809498385080029471205,1016
24,2,314351286349971401802881714865963946206,5808
24,3,135990317332963853537880247028392947919,1946
24,4,256271205620424468183064861504913491834,1360
25,0,336069678876403368696395597166264195213,1908
25,1,218891248345026925686065129935444834657,3294
25,2,65023359338616733290265284039005640949,2218
25,3,73006355738028021191055617701724219854,2822
25,4,233238878398615152903209956183632337767,2258
26,0,285948627683116164871113196079334379085,1412
26,1,105238882417115161017346825084119337529,5094
26,2,138143136450365035236752646793372829793,2028
26,3,234828213200328494150632316820664204311,4106
26,4,193583546785594147280212356779025608005,1732
27,0,269224985659306356618505212275377916324,1012
27,1,249771661338508076559722092598116260559,1094
27,2,84831622850915804620118645776674243779,2272
27,3,211828126350617696119487187400630461199,2186
27,4,185187697935042279380504079683639127278,1408
28,0,38382482652182110027928567216567582109,4644
28,1,283549128648397998800259164690478988675,2142
28,2,329789349849250150740353008160918288124,1454
28,3,237717397365941120755353071346132797285,2388
28,4,212899194589386454959329905121010598381,2422
29,0,147375959567911300917557230549562869082,1770
29,1,324943420054191168522916902344343064501,1852
29,2,42614340752351021790223169195337218886,1352
29,3,45523825233609774445975732539461852693,1958
29,4,256153736537309378479404058636940707376,2234
